48 - Checker-LOGGER - INFO - Start logging
8069 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48002), seq0, ack0
8069 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48001), seq0, ack0
8069 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48001), seq0, ack0
8069 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48005) sends a type0 pkt to ('127.0.0.1', 48001), seq0, ack0
8069 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48002), seq0, ack0
8069 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48005) sends a type0 pkt to ('127.0.0.1', 48002), seq0, ack0
8070 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48002), seq0, ack0
8070 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48003), seq0, ack0
8070 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48004), seq0, ack0
8070 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48005) sends a type0 pkt to ('127.0.0.1', 48003), seq0, ack0
8070 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48003), seq0, ack0
8070 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48004), seq0, ack0
8071 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48005), seq0, ack0
8071 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48005) sends a type0 pkt to ('127.0.0.1', 48004), seq0, ack0
8071 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48004), seq0, ack0
8071 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48005), seq0, ack0
8071 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48006), seq0, ack0
8071 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48005) sends a type0 pkt to ('127.0.0.1', 48006), seq0, ack0
8071 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48005), seq0, ack0
8071 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48006), seq0, ack0
8071 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48007), seq0, ack0
8072 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48006), seq0, ack0
8072 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48007), seq0, ack0
8072 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48005) sends a type0 pkt to ('127.0.0.1', 48007), seq0, ack0
8072 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48007), seq0, ack0
8072 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48008), seq0, ack0
8073 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48001) sends a type0 pkt to ('127.0.0.1', 48008), seq0, ack0
8073 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48005) sends a type0 pkt to ('127.0.0.1', 48008), seq0, ack0
8073 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48001), seq0, ack0
8073 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48001), seq0, ack0
8073 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48002), seq0, ack0
8074 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48002), seq0, ack0
8074 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48004), seq0, ack0
8074 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48003), seq0, ack0
8074 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48005), seq0, ack0
8075 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48004), seq0, ack0
8075 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48005), seq0, ack0
8075 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48006), seq0, ack0
8076 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48006), seq0, ack0
8076 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48008) sends a type0 pkt to ('127.0.0.1', 48007), seq0, ack0
8076 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48007), seq0, ack0
8076 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48003) sends a type0 pkt to ('127.0.0.1', 48008), seq0, ack0
8076 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48002) sends a type1 pkt to ('127.0.0.1', 48001), seq0, ack0
8076 - Checker-LOGGER - DEBUG - ('127.0.0.1', 48004) sends a type1 pkt to ('127.0.0.1', 48003), seq0, ack0
